Index Close signals.num Delt1 Delt2 Delt3 Delt4 Delt5 Delt6 Delt7 Delt8 Delt9 Delt10 atr SMI ADX Aroon BB ChaikinVol CLV CMO EMADelt Volat MACD RSI SAR ClMean ClSD
2017-01-17 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00820370006938715 72.3907186432756 100 0 0.75 0 -1.99618392586492e-08 NA 6.61386740864514e-09 NA 0.166775439847451 100 63.7292164887866 63.560699 0
2017-01-18 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00761772149300235 72.3907186432756 100 0 0.75 0 -1.63324139388948e-08 NA 5.41134606161875e-09 NA 0.154405866780439 100 63.7224757892352 63.560699 0
2017-01-19 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00707359852921647 72.3907186432756 100 0 0.75 0 -1.3362884131823e-08 NA 4.42746495950625e-09 NA 0.142954704862497 100 63.7160047176657 63.560699 0
2017-01-20 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00656834149141529 72.3907186432756 100 0 0.75 0 -1.09332688351279e-08 NA 3.62247133050511e-09 NA 0.132353634636538 100 63.7097924889591 63.560699 0
2017-01-23 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00609917424202849 72.3907186432756 100 0 0.75 0 -8.94540177419559e-09 NA 2.96384017950418e-09 NA 0.122539435948349 100 63.7038287494007 63.560699 0
2017-01-24 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00566351893902645 72.3907186432756 100 0 0.75 0 -7.31896508797821e-09 NA 2.42496014686706e-09 NA 0.113453605114357 100 63.6981035594247 63.560699 0
2017-01-25 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00525898187195313 72.3907186432756 100 0 0.75 0 -5.98824416289126e-09 NA 1.98405830198214e-09 NA 0.105042001114494 100 63.6926073770477 63.560699 0
2017-01-26 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00488334030967077 72.3907186432756 100 0 0.75 0 -4.89947249691103e-09 NA 1.62332042889448e-09 NA 0.0972545185743523 100 63.6873310419658 63.560699 0
2017-02-03 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00453453028755143 72.3907186432756 100 0 0.75 0 -4.00865931565448e-09 NA 1.32817126000457e-09 NA 0.0900447854773034 100 63.6822657602872 63.560699 0
2017-02-06 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00421063526701204 72.3907186432756 100 0 0.75 0 -3.27981216735366e-09 NA 1.08668557636738e-09 NA 0.0833698837091505 100 63.6774030898757 63.560699 0
2017-02-07 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00390987560508261 72.3907186432756 100 0 0.75 0 -2.68348268238027e-09 NA 8.89106380664217e-10 NA 0.0771900906868565 100 63.6727349262807 63.560699 0
2017-02-08 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00363059877614814 72.3907186432756 100 0 0.75 0 -2.19557674012931e-09 NA 7.27450675088905e-10 NA 0.0714686404596281 100 63.6682534892294 63.560699 0
2017-02-09 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00337127029213756 72.3907186432756 100 0 0.75 0 -1.79638096919671e-09 NA 5.95186915981831e-10 NA 0.0661715027964162 100 63.6639513096603 63.560699 0
2017-02-10 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00313046527127059 72.3907186432756 100 0 0.75 0 -1.46976624752458e-09 NA 4.86971113076044e-10 NA 0.0612671788895788 100 63.6598212172739 63.560699 0
2017-02-13 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00290686060903697 72.3907186432756 100 0 0.75 0 -1.20253602070193e-09 NA 3.98430910698581e-10 NA 0.0567265124108072 100 63.6558563285829 63.560699 0
2017-02-14 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00269922770839148 72.3907186432756 100 0 0.75 0 -9.83893107847033e-10 NA 3.25988926935203e-10 NA 0.0525225147533195 100 63.6520500354396 63.560699 0
2017-02-15 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00250642572922066 72.3907186432756 100 0 0.75 0 -8.05003451874845e-10 NA 2.66718212946984e-10 NA 0.0486302033844119 100 63.648395994022 63.560699 0
2017-02-16 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00232739531999061 72.3907186432756 100 0 0.75 0 -6.586391878976e-10 NA 2.18223992411169e-10 NA 0.0450264523154578 100 63.6448881142611 63.560699 0
2017-02-17 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00216115279713414 72.3907186432756 100 0 0.75 0 -5.38886608279855e-10 NA 1.78546902881865e-10 NA 0.0416898537727326 100 63.6415205496907 63.560699 0
2017-02-20 63.560699 2 0 0 0 0 0 0 0 0 0 0 0.00200678474019598 72.3907186432756 100 0 0.75 0 -4.40907224956245e-10 NA 1.46083829630617e-10 NA 0.0386005902229474 100 63.638287687703 63.560699 0
